IsMeta,URL,Key,Value
false,,rc::c,BEIlFUUapjmhL_NPdLLUaSn5q3Hl9aHCIZvtsqBWNMVhdrfZGYtbc3TuIDXdSMs9FZWhsk1iyGacCiUJTRo2oaw
false,,,"{""gridSites"":[{""favicon"":"""",""id"":1,""source"":0,""title"":""Netflix"",""title_direction"":2,""title_source"":3,""url"":""https://www.netflix.com/browse""},{""favicon"":"""",""id"":2,""source"":0,""title"":""YouTube"",""title_direction"":2,""title_source"":3,""url"":""https://www.youtube.com/watch?v=9b17rmums_Q""}],""removedSites"":[],""shouldShowSiteRemovedNotification"":false}"
false,,rc::c,BEIlFUUapjmhL_NPdLLUaSnx6zHl9MV6GZvtsqBWNMVlVh6NBVo7-0zaJL3Z6R990ZmxsmVecGacCiUJTRo2oaw
false,,,"{""data"":""1731699710252"",""creation"":1731699410252}"
false,,,"{""data"":""youtube-desktop"",""creation"":1731699410252}"
false,,,"{""data"":""Desktop"",""creation"":1731699410252}"
false,chrome://newtab/,2d657480_127e_4832_92b0_bdbf9162b9f4,7
false,https://www.youtube.com/,2d657480_127e_4832_92b0_bdbf9162b9f4,9
false,chrome://newtab/,442f876e_1e8d_422d_8dd2_7d0909f5451a,12
false,https://www.recaptcha.net/,442f876e_1e8d_422d_8dd2_7d0909f5451a,14
false,https://www.skipdns.link/,442f876e_1e8d_422d_8dd2_7d0909f5451a,13
false,chrome://newtab/,69ed2423_db1a_4909_a788_52fefc61a192,6
false,https://www.google.com/,69ed2423_db1a_4909_a788_52fefc61a192,10
false,https://www.netflix.com/,69ed2423_db1a_4909_a788_52fefc61a192,8
false,chrome://newtab/,77f47336_08df_4ff5_8d85_969e2e275eed,1
false,,,15
false,,,1
